#Release 14.3 - par P.40xd (lin64)
#Copyright (c) 1995-2012 Xilinx, Inc.  All rights reserved.

#Tue Nov 13 11:36:04 2012

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       top_map.ncd
#OUTPUT FILE:      top_pad.csv
#PART TYPE:        xc3s50an
#SPEED GRADE:      -4
#PACKAGE:          tqg144
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
1,,,TMS,,,,,,,,,,,,
2,,,TDI,,,,,,,,,,,,
3,,DIFFMLR,IO_L02P_3,UNUSED,,3,,,,,,,,,
4,,DIFFMLR,IO_L01P_3,UNUSED,,3,,,,,,,,,
5,,DIFFSLR,IO_L02N_3,UNUSED,,3,,,,,,,,,
6,,DIFFSLR,IO_L01N_3,UNUSED,,3,,,,,,,,,
7,,DIFFMLR,IO_L03P_3,UNUSED,,3,,,,,,,,,
8,,DIFFSLR,IO_L03N_3,UNUSED,,3,,,,,,,,,
9,,,GND,,,,,,,,,,,,
10,,DIFFMLR,IO_L04P_3,UNUSED,,3,,,,,,,,,
11,,DIFFSLR,IO_L04N_3/VREF_3,UNUSED,,3,,,,,,,,,
12,,DIFFMLR,IO_L05P_3/LHCLK0,UNUSED,,3,,,,,,,,,
13,,DIFFSLR,IO_L05N_3/LHCLK1,UNUSED,,3,,,,,,,,,
14,,,VCCO_3,,,3,,,,,2.50,,,,
15,,DIFFMLR,IO_L06P_3/LHCLK2,UNUSED,,3,,,,,,,,,
16,,DIFFSLR,IO_L06N_3/IRDY2/LHCLK3,UNUSED,,3,,,,,,,,,
17,,,GND,,,,,,,,,,,,
18,clk,IBUF,IO_L07P_3/LHCLK4,INPUT,LVCMOS25*,3,,,,IBUF,,LOCATED,NO,NONE,
19,,DIFFMLR,IO_L08P_3/TRDY2/LHCLK6,UNUSED,,3,,,,,,,,,
20,,DIFFSLR,IO_L07N_3/LHCLK5,UNUSED,,3,,,,,,,,,
21,,DIFFSLR,IO_L08N_3/LHCLK7,UNUSED,,3,,,,,,,,,
22,,,VCCINT,,,,,,,,1.2,,,,
23,,,VCCO_3,,,3,,,,,2.50,,,,
24,,DIFFMLR,IO_L09P_3,UNUSED,,3,,,,,,,,,
25,,DIFFSLR,IO_L09N_3,UNUSED,,3,,,,,,,,,
26,,,GND,,,,,,,,,,,,
27,,DIFFMLR,IO_L10P_3,UNUSED,,3,,,,,,,,,
28,,DIFFMLR,IO_L11P_3,UNUSED,,3,,,,,,,,,
29,,DIFFSLR,IO_L10N_3,UNUSED,,3,,,,,,,,,
30,,DIFFSLR,IO_L11N_3,UNUSED,,3,,,,,,,,,
31,,DIFFMLR,IO_L12P_3,UNUSED,,3,,,,,,,,,
32,,DIFFSLR,IO_L12N_3,UNUSED,,3,,,,,,,,,
33,,DIFFMI_NDT,IP_L13P_3,UNUSED,,3,,,,,,,,,
34,,,GND,,,,,,,,,,,,
35,,DIFFSI_NDT,IP_L13N_3/VREF_3,UNUSED,,3,,,,,,,,,
36,,,VCCAUX,,,,,,,,3.3,,,,
37,,DIFFMTB,IO_L01P_2/M1,UNUSED,,2,,,,,,,,,
38,,DIFFSTB,IO_L01N_2/M0,UNUSED,,2,,,,,,,,,
39,,DIFFMTB,IO_L02P_2/M2,UNUSED,,2,,,,,,,,,
40,,,VCCO_2,,,2,,,,,any******,,,,
41,,DIFFSTB,IO_L02N_2/CSO_B,UNUSED,,2,,,,,,,,,
42,,DIFFMTB,IO_L03P_2/RDWR_B,UNUSED,,2,,,,,,,,,
43,,DIFFMTB,IO_L04P_2/VS2,UNUSED,,2,,,,,,,,,
44,,DIFFSTB,IO_L03N_2/VS1,UNUSED,,2,,,,,,,,,
45,,DIFFSTB,IO_L04N_2/VS0,UNUSED,,2,,,,,,,,,
46,,DIFFMTB,IO_L05P_2,UNUSED,,2,,,,,,,,,
47,,DIFFMTB,IO_L06P_2,UNUSED,,2,,,,,,,,,
48,,DIFFSTB,IO_L05N_2/D7,UNUSED,,2,,,,,,,,,
49,,DIFFSTB,IO_L06N_2/D6,UNUSED,,2,,,,,,,,,
50,,DIFFMTB,IO_L07P_2/D5,UNUSED,,2,,,,,,,,,
51,,DIFFSTB,IO_L07N_2/D4,UNUSED,,2,,,,,,,,,
52,,,VCCINT,,,,,,,,1.2,,,,
53,,IBUF,IP_2/VREF_2,UNUSED,,2,,,,,,,,,
54,,DIFFMTB,IO_L08P_2/GCLK14,UNUSED,,2,,,,,,,,,
55,,DIFFSTB,IO_L08N_2/GCLK15,UNUSED,,2,,,,,,,,,
56,,,GND,,,,,,,,,,,,
57,,DIFFMTB,IO_L09P_2/GCLK0,UNUSED,,2,,,,,,,,,
58,,DIFFMTB,IO_L10P_2/GCLK2,UNUSED,,2,,,,,,,,,
59,,DIFFSTB,IO_L09N_2/GCLK1,UNUSED,,2,,,,,,,,,
60,,DIFFSTB,IO_L10N_2/GCLK3,UNUSED,,2,,,,,,,,,
61,,,VCCO_2,,,2,,,,,any******,,,,
62,,DIFFMTB,IO_2/MOSI/CSI_B,UNUSED,,2,,,,,,,,,
63,,DIFFMTB,IO_L11P_2/AWAKE,UNUSED,,2,,,,,,,,,
64,,DIFFSTB,IO_L11N_2/DOUT,UNUSED,,2,,,,,,,,,
65,,,GND,,,,,,,,,,,,
66,,,VCCAUX,,,,,,,,3.3,,,,
67,,DIFFMTB,IO_L12P_2/INIT_B,UNUSED,,2,,,,,,,,,
68,,DIFFSTB,IO_L12N_2/D3,UNUSED,,2,,,,,,,,,
69,,DIFFMTB,IO_L13P_2/D2,UNUSED,,2,,,,,,,,,
70,,DIFFMTB,IO_L14P_2/D1,UNUSED,,2,,,,,,,,,
71,,DIFFSTB,IO_L13N_2/D0/DIN/MISO,UNUSED,,2,,,,,,,,,
72,,DIFFSTB,IO_L14N_2/CCLK,UNUSED,,2,,,,,,,,,
73,,,DONE,,,,,,,,,,,,
74,,,SUSPEND,,,,,,,,,,,,
75,,DIFFMLR,IO_L02P_1/LDC1,UNUSED,,1,,,,,,,,,
76,,DIFFMLR,IO_L01P_1/HDC,UNUSED,,1,,,,,,,,,
77,,DIFFSLR,IO_L02N_1/LDC0,UNUSED,,1,,,,,,,,,
78,,DIFFSLR,IO_L01N_1/LDC2,UNUSED,,1,,,,,,,,,
